"effect","group","term","estimate","std.error","statistic","matching","outcome","n_treated","n_comparison","data","p.value","category","indicator","exposure","step"
"fixed",NA,"int_cat_ena_chnge_1",-0.0230164974497357,0.0339607914017891,-0.677737370057964,TRUE,"DY_forest_share",91,69,"Short-term",NA,"Count (sum)","Enabling","Changed behavior",1
"fixed",NA,"int_cat_ena_chnge_2",0.0770474003905622,0.0735059507843252,1.04817908711402,TRUE,"DY_forest_share",16,16,"Short-term",NA,"Count (sum)","Enabling","Changed behavior",2
NA,NA,"int_cat_neg_chnge_1",-0.222222222797113,0.472222222797113,-0.470588235938632,TRUE,"DY_forest_share",2,2,"Short-term",0.684265184425137,"Count (sum)","Negative","Changed behavior",1
"fixed",NA,"int_avail_bin_CLE_1",0.023473484551717,0.0281042775746405,0.835228177965977,TRUE,"DY_forest_share",188,93,"Long-term",NA,"Binary (any)"," CLE","Available",1
"fixed",NA,"int_avail_bin_EE_1",0.0504708033676567,0.0268043579076709,1.88293275076785,TRUE,"DY_forest_share",465,169,"Long-term",NA,"Binary (any)"," EE","Available",1
"fixed",NA,"int_avail_bin_FE_1",0.0650740661886465,0.0575446917061821,1.13084394510112,TRUE,"DY_forest_share",101,59,"Long-term",NA,"Binary (any)"," FE","Available",1
"fixed",NA,"int_avail_bin_NCLE_1",-0.0035757450429743,0.0300598797662543,-0.118954070035519,TRUE,"DY_forest_share",251,125,"Long-term",NA,"Binary (any)"," NCLE","Available",1
"fixed",NA,"int_avail_bin_RFAC_1",0.106275895594114,0.0635379668844012,1.67263607580438,TRUE,"DY_forest_share",85,44,"Long-term",NA,"Binary (any)"," RFAC","Available",1
"fixed",NA,"int_avail_bin_TC_1",0.0464634339589908,0.0221278405455336,2.0997726309253,TRUE,"DY_forest_share",279,56,"Long-term",NA,"Binary (any)"," TC","Available",1
"fixed",NA,"int_avail_bin_OI_1",-0.0407000662130823,0.0354067257689945,-1.149500986864,TRUE,"DY_forest_share",208,97,"Long-term",NA,"Binary (any)"," OI","Available",1
"fixed",NA,"int_invol_bin_CLE_1",0.0387727486932548,0.0309036648509621,1.25463270716411,TRUE,"DY_forest_share",121,76,"Long-term",NA,"Binary (any)"," CLE","Involved",1
"fixed",NA,"int_invol_bin_EE_1",0.0637292277323946,0.0319468325827084,1.99485277820277,TRUE,"DY_forest_share",178,114,"Long-term",NA,"Binary (any)"," EE","Involved",1
"fixed",NA,"int_invol_bin_FE_1",0.112767387123925,0.0736632817532578,1.53084935180665,TRUE,"DY_forest_share",54,37,"Long-term",NA,"Binary (any)"," FE","Involved",1
"fixed",NA,"int_invol_bin_NCLE_1",0.0284107157141609,0.0368344008233795,0.771309294547505,TRUE,"DY_forest_share",131,79,"Long-term",NA,"Binary (any)"," NCLE","Involved",1
NA,NA,"int_invol_bin_RFAC_1",0.336196419578951,0.180197538179421,1.86571039191558,TRUE,"DY_forest_share",11,9,"Long-term",0.0784653000533472,"Binary (any)"," RFAC","Involved",1
"fixed",NA,"int_invol_bin_TC_1",0.00263192085096551,0.0169004734571904,0.155730598768861,TRUE,"DY_forest_share",109,62,"Long-term",NA,"Binary (any)"," TC","Involved",1
"fixed",NA,"int_invol_bin_OI_1",-0.0331447994575627,0.040292172997641,-0.822611365723643,TRUE,"DY_forest_share",148,82,"Long-term",NA,"Binary (any)"," OI","Involved",1
"fixed",NA,"int_chnge_bin_CLE_1",0.116791067744097,0.0495207472441932,2.35842700773849,TRUE,"DY_forest_share",23,22,"Long-term",NA,"Binary (any)"," CLE","Changed behavior",1
"fixed",NA,"int_chnge_bin_EE_1",0.0876737317404072,0.0570048919719508,1.53800364683696,TRUE,"DY_forest_share",36,32,"Long-term",NA,"Binary (any)"," EE","Changed behavior",1
"fixed",NA,"int_chnge_bin_FE_1",0.107840933494675,0.101980935972609,1.05746169581774,TRUE,"DY_forest_share",21,17,"Long-term",NA,"Binary (any)"," FE","Changed behavior",1
"fixed",NA,"int_chnge_bin_NCLE_1",0.0119856684279706,0.0510116967526996,0.23495921898219,TRUE,"DY_forest_share",56,46,"Long-term",NA,"Binary (any)"," NCLE","Changed behavior",1
NA,NA,"int_chnge_bin_RFAC_1",-0.0816560890090301,0.382085304249097,-0.213711671453857,TRUE,"DY_forest_share",2,2,"Long-term",0.850579505781076,"Binary (any)"," RFAC","Changed behavior",1
"fixed",NA,"int_chnge_bin_TC_1",0.0176088605227111,0.0278073460636676,0.633244916015858,TRUE,"DY_forest_share",12,10,"Long-term",NA,"Binary (any)"," TC","Changed behavior",1
"fixed",NA,"int_chnge_bin_OI_1",0.0528075088463861,0.061166853744891,0.863335378776072,TRUE,"DY_forest_share",47,33,"Long-term",NA,"Binary (any)"," OI","Changed behavior",1
"fixed",NA,"int_avail_sum_CLE_1",0.0237531754666013,0.026339423144456,0.901810769975078,TRUE,"DY_forest_share",188,92,"Long-term",NA,"Count (sum)"," CLE","Available",1
"fixed",NA,"int_avail_sum_CLE_2",0.579754581061854,0.101524898913363,5.71046696196754,FALSE,"DY_forest_share",24,475,"Long-term",NA,"Count (sum)"," CLE","Available",2
"fixed",NA,"int_avail_sum_EE_1",0.0520899915022799,0.0267286012279296,1.9488483912076,TRUE,"DY_forest_share",465,165,"Long-term",NA,"Count (sum)"," EE","Available",1
"fixed",NA,"int_avail_sum_EE_2",0.348138847312393,0.110848778777795,3.14066470691809,FALSE,"DY_forest_share",15,475,"Long-term",NA,"Count (sum)"," EE","Available",2
"fixed",NA,"int_avail_sum_FE_1",0.0650740661886465,0.0575446917061821,1.13084394510112,TRUE,"DY_forest_share",101,59,"Long-term",NA,"Count (sum)"," FE","Available",1
"fixed",NA,"int_avail_sum_NCLE_1",-0.0759850432452619,0.0477362244278129,-1.59176902145177,TRUE,"DY_forest_share",69,44,"Long-term",NA,"Count (sum)"," NCLE","Available",1
"fixed",NA,"int_avail_sum_NCLE_2",-0.0125623811138317,0.0381204914468442,-0.329544049329713,TRUE,"DY_forest_share",136,79,"Long-term",NA,"Count (sum)"," NCLE","Available",2
"fixed",NA,"int_avail_sum_NCLE_3",0.189481772307731,0.0749643908403546,2.52762371818981,TRUE,"DY_forest_share",46,33,"Long-term",NA,"Count (sum)"," NCLE","Available",3
"fixed",NA,"int_avail_sum_NCLE_4",-0.017485154741517,0.0465290658117402,-0.375789937676015,TRUE,"DY_forest_share",32,21,"Long-term",NA,"Count (sum)"," NCLE","Available",4
"fixed",NA,"int_avail_sum_NCLE_5",0.0157113954412769,0.0348663895445142,0.450617217513102,TRUE,"DY_forest_share",69,40,"Long-term",NA,"Count (sum)"," NCLE","Available",5
"fixed",NA,"int_avail_sum_RFAC_1",0.107851617907642,0.0638808550769333,1.68832458140634,TRUE,"DY_forest_share",84,44,"Long-term",NA,"Count (sum)"," RFAC","Available",1
"fixed",NA,"int_avail_sum_TC_1",0.0464634339589908,0.0221278405455336,2.0997726309253,TRUE,"DY_forest_share",279,56,"Long-term",NA,"Count (sum)"," TC","Available",1
"fixed",NA,"int_avail_sum_OI_1",-0.0775203798514721,0.0385791881469946,-2.00938338972048,TRUE,"DY_forest_share",168,79,"Long-term",NA,"Count (sum)"," OI","Available",1
"fixed",NA,"int_avail_sum_OI_2",0.0332081293177354,0.0433870395077159,0.765392838380451,TRUE,"DY_forest_share",87,47,"Long-term",NA,"Count (sum)"," OI","Available",2
"fixed",NA,"int_invol_sum_CLE_1",0.038123723991101,0.0311624613292202,1.22338616286877,TRUE,"DY_forest_share",121,76,"Long-term",NA,"Count (sum)"," CLE","Involved",1
"fixed",NA,"int_invol_sum_CLE_2",0.597028246552645,0.136097077064937,4.38678228385302,FALSE,"DY_forest_share",7,475,"Long-term",NA,"Count (sum)"," CLE","Involved",2
"fixed",NA,"int_invol_sum_EE_1",0.0650380837423207,0.0323252957337073,2.01198727702596,TRUE,"DY_forest_share",178,113,"Long-term",NA,"Count (sum)"," EE","Involved",1
"fixed",NA,"int_invol_sum_EE_2",0.393578356321885,0.152596352236303,2.57921208832312,FALSE,"DY_forest_share",5,475,"Long-term",NA,"Count (sum)"," EE","Involved",2
"fixed",NA,"int_invol_sum_FE_1",0.112767387123925,0.0736632817532578,1.53084935180665,TRUE,"DY_forest_share",54,37,"Long-term",NA,"Count (sum)"," FE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_1",0.044836886615692,0.0505086574759245,0.887706956714579,TRUE,"DY_forest_share",75,54,"Long-term",NA,"Count (sum)"," NCLE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_2",0.0267295353774806,0.0456369321638746,0.585699653988557,TRUE,"DY_forest_share",60,42,"Long-term",NA,"Count (sum)"," NCLE","Involved",2
"fixed",NA,"int_invol_sum_NCLE_3",-0.0073145896203088,0.0550652739332924,-0.132834890264414,TRUE,"DY_forest_share",18,16,"Long-term",NA,"Count (sum)"," NCLE","Involved",3
"fixed",NA,"int_invol_sum_NCLE_4",-0.0264087050868927,0.0837823296013302,-0.315206144452606,TRUE,"DY_forest_share",13,10,"Long-term",NA,"Count (sum)"," NCLE","Involved",4
