"effect","group","term","estimate","std.error","statistic","matching","outcome","n_treated","n_comparison","data","category","indicator","exposure","step"
"fixed",NA,"int_avail_sum_FE_1",0.176366455917741,0.0569992354110517,3.0941898544054,TRUE,"DY_forest_share",125,73,"Long-term","Count (sum)"," FE","Available",1
"fixed",NA,"int_avail_sum_NCLE_1",0.0723136827764482,0.045606600333006,1.58559687081333,TRUE,"DY_forest_share",93,77,"Long-term","Count (sum)"," NCLE","Available",1
"fixed",NA,"int_avail_sum_NCLE_2",0.0194298822887699,0.0388152859629378,0.500572952298283,TRUE,"DY_forest_share",136,85,"Long-term","Count (sum)"," NCLE","Available",2
"fixed",NA,"int_avail_sum_NCLE_3",0.137886941119701,0.0861929312566993,1.59974767198771,TRUE,"DY_forest_share",45,34,"Long-term","Count (sum)"," NCLE","Available",3
"fixed",NA,"int_avail_sum_NCLE_4",-0.0460896678042555,0.0436129226511405,-1.05678924966635,TRUE,"DY_forest_share",32,27,"Long-term","Count (sum)"," NCLE","Available",4
"fixed",NA,"int_avail_sum_NCLE_5",0.00321283162697225,0.0373127565504929,0.0861054482164707,TRUE,"DY_forest_share",63,36,"Long-term","Count (sum)"," NCLE","Available",5
"fixed",NA,"int_avail_sum_RFAC_1",0.0716679539262941,0.0549561727304013,1.30409288648749,TRUE,"DY_forest_share",154,68,"Long-term","Count (sum)"," RFAC","Available",1
"fixed",NA,"int_avail_sum_TC_1",0.103001394007763,0.0389443902847997,2.64483262555955,TRUE,"DY_forest_share",204,48,"Long-term","Count (sum)"," TC","Available",1
"fixed",NA,"int_avail_sum_OI_1",-0.00329680031737425,0.0363950481124477,-0.090583760383784,TRUE,"DY_forest_share",163,81,"Long-term","Count (sum)"," OI","Available",1
"fixed",NA,"int_avail_sum_OI_2",0.044955208392844,0.0560903479100055,0.801478508654869,TRUE,"DY_forest_share",85,52,"Long-term","Count (sum)"," OI","Available",2
"fixed",NA,"int_invol_sum_CLE_1",0.028113256719912,0.0390729221764694,0.719507401902038,TRUE,"DY_forest_share",153,112,"Long-term","Count (sum)"," CLE","Involved",1
"fixed",NA,"int_invol_sum_EE_1",0.0776994588518455,0.0309052339113435,2.51411974666616,TRUE,"DY_forest_share",213,163,"Long-term","Count (sum)"," EE","Involved",1
"fixed",NA,"int_invol_sum_FE_1",0.101323337159821,0.0741788074812608,1.36593375655732,TRUE,"DY_forest_share",54,40,"Long-term","Count (sum)"," FE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_1",0.13842461590947,0.0501240745081988,2.76163933733735,TRUE,"DY_forest_share",99,79,"Long-term","Count (sum)"," NCLE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_2",0.0376340850267958,0.0416050486673364,0.904555726582813,TRUE,"DY_forest_share",59,47,"Long-term","Count (sum)"," NCLE","Involved",2
"fixed",NA,"int_invol_sum_NCLE_3",-0.0740146372084846,0.0552276654123109,-1.34017320225138,TRUE,"DY_forest_share",16,15,"Long-term","Count (sum)"," NCLE","Involved",3
"fixed",NA,"int_invol_sum_NCLE_4",0.0446816255970842,0.0804615643203393,0.555316392050179,TRUE,"DY_forest_share",13,12,"Long-term","Count (sum)"," NCLE","Involved",4
"fixed",NA,"int_invol_sum_NCLE_5",0.0286495396147593,0.0719299907355099,0.398297557413917,TRUE,"DY_forest_share",10,10,"Long-term","Count (sum)"," NCLE","Involved",5
"fixed",NA,"int_invol_sum_RFAC_1",0.111238888188073,0.103579705054518,1.07394482470793,TRUE,"DY_forest_share",31,27,"Long-term","Count (sum)"," RFAC","Involved",1
"fixed",NA,"int_invol_sum_TC_1",0.0857213532973018,0.0275353943622856,3.11313330651664,TRUE,"DY_forest_share",118,82,"Long-term","Count (sum)"," TC","Involved",1
"fixed",NA,"int_invol_sum_OI_1",0.0122213666387056,0.0404820296110141,0.301896094542169,TRUE,"DY_forest_share",128,91,"Long-term","Count (sum)"," OI","Involved",1
"fixed",NA,"int_invol_sum_OI_2",0.0455945601160639,0.0552247539494939,0.825618166769247,TRUE,"DY_forest_share",41,32,"Long-term","Count (sum)"," OI","Involved",2
"fixed",NA,"int_chnge_sum_CLE_1",0.0782454281563531,0.0760405386680028,1.02899623709896,TRUE,"DY_forest_share",53,43,"Long-term","Count (sum)"," CLE","Changed behavior",1
"fixed",NA,"int_chnge_sum_EE_1",0.0968014164817058,0.0562726349532859,1.72022185494005,TRUE,"DY_forest_share",53,46,"Long-term","Count (sum)"," EE","Changed behavior",1
"fixed",NA,"int_chnge_sum_FE_1",0.253754423737561,0.102627111548756,2.47258662850516,TRUE,"DY_forest_share",20,17,"Long-term","Count (sum)"," FE","Changed behavior",1
"fixed",NA,"int_chnge_sum_NCLE_1",0.190623101192219,0.0546070023185468,3.49081790060971,TRUE,"DY_forest_share",75,66,"Long-term","Count (sum)"," NCLE","Changed behavior",1
"fixed",NA,"int_chnge_sum_NCLE_2",0.0837688141557502,0.0451405297185326,1.85573396409123,TRUE,"DY_forest_share",5,5,"Long-term","Count (sum)"," NCLE","Changed behavior",2
