DGP_Form,Inference_Form,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
101,exponential,gamma_global[6],-0.0257,0.032,-0.0873,0.0327,0.0003,0.0004,13356.8307,5831.8319,1.0008
101,exponential,gamma_global[7],0.0374,0.021,-0.0028,0.076,0.0002,0.0003,15735.5037,5695.3402,1.0007
101,exponential,gamma_global[8],0.1014,0.0312,0.0404,0.1572,0.0003,0.0004,13957.7167,6625.3186,1.0
101,exponential,gamma_global[9],0.1345,0.0285,0.0822,0.1896,0.0003,0.0004,12803.3066,5851.48,1.0005
101,exponential,gamma_global[10],-1.0276,0.0795,-1.1726,-0.8714,0.0007,0.001,12930.302,6484.07,1.0004
101,exponential,gamma_global[11],0.2754,0.0558,0.1781,0.3882,0.0005,0.0006,10415.3397,6441.5866,1.0004
101,exponential,mu_log_eta,2.5349,0.3095,1.9887,3.1296,0.0029,0.0046,13302.6555,5061.959,1.0028
101,exponential,omega_global,0.2203,0.0682,0.0924,0.3443,0.0007,0.0008,9360.862,5895.5968,1.0003
101,exponential,sigma_Y,0.1808,0.0046,0.1723,0.1895,0.0,0.0001,13123.51,5989.1608,1.0
101,exponential,sigma_p,0.3519,0.0945,0.1835,0.5259,0.0012,0.001,5922.2168,5053.389,1.0006
101,exponential,sigma_v,0.336,0.0559,0.237,0.4439,0.0009,0.0006,3482.0937,5016.6344,1.0014
101,exponential,tau[0],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[1],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[2],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[3],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[4],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[5],0.0046,0.0188,-0.032,0.0388,0.0002,0.0002,10332.2513,6448.2974,1.0001
101,exponential,tau[6],0.0046,0.0188,-0.032,0.0388,0.0002,0.0002,10332.2513,6448.2974,1.0001
101,exponential,tau[7],0.007,0.0282,-0.0456,0.06,0.0003,0.0003,9862.3192,6152.6473,1.0001
101,exponential,tau[8],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[9],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[10],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
